n_other_coops,coop_payoff_mean,coop_payoff_stderr,def_payoff_mean,def_payoff_stderr,attr_payoff_mean,attr_payoff_stderr,avg_payoff_mean,avg_payoff_stderr,coop_cleanrate,def_cleanrate,attr_cleanrate,n_episodes
0,34.125,2.9668119384960394,120.5625,4.437599988352537,103.6875,8.745422034239995,120.5625,4.437599988352537,0.0075525134,0.0036538697,0.00047916643,48
1,31.13541603088379,1.8706948529293377,136.59722900390625,5.661899090332945,75.6875,6.483418612227213,122.70833587646484,5.113079475000167,0.08404978,0.0038247912,0.001166666,48
2,10.5,0.7951661632174805,235.0249786376953,6.140441797784665,126.14583587646484,9.18355865810361,177.5,4.67944073621976,0.07201265,0.0025425826,0.009469582,48
3,97.74478912353516,9.191117902112346,155.0208282470703,7.108119734812082,126.0,9.31625149879742,94.6875,4.3829492254906315,0.06670547,0.0012402077,0.007062916,48
4,487.0833435058594,11.628215087145746,773.9375,24.739682800291174,609.875,30.964253604490786,394.5833435058594,15.065101441677207,0.06379642,0.0002708332,0.00012499995,48
5,937.34375,13.13995046444355,1096.4478759765625,48.09455218216208,1614.5208740234375,89.89790165153973,642.25,18.063630930695734,0.0533118,0.00036458313,2.0833324e-05,48
6,1431.1875,15.11318569976468,1333.7916259765625,43.430336200555594,2252.541748046875,101.38972328767898,998.1875,15.256861440905885,0.04601339,0.0,0.0,48
