env_step,focal_return,inflation,claimed_alpha,true_alpha_focal,partner_clean_rate,dirt,aggregate,victim_mean
128000.0,-1368.1173095703125,0.38540610671043396,0.3895828425884247,0.00417671911418438,0.14179818332195282,43.79690170288086,0.044068530201911926,1.368117332458496
256000.0,-1631.783935546875,0.39340096712112427,0.39871644973754883,0.005315469112247229,0.14368098974227905,35.495948791503906,0.04822031781077385,1.6317839622497559
384000.0,-1630.3165283203125,0.3910570442676544,0.39593204855918884,0.004875000100582838,0.14361850917339325,35.54301071166992,0.04809437319636345,1.6303166151046753
512000.0,-1601.94287109375,0.37742719054222107,0.3826633095741272,0.005236093886196613,0.1439283788204193,36.65180587768555,0.04770125448703766,1.6019428968429565
640000.0,-1618.686279296875,0.3833070695400238,0.3884468972682953,0.005139843560755253,0.1431250125169754,35.83107376098633,0.04801340028643608,1.618686318397522
768000.0,-1612.1602783203125,0.39458706974983215,0.39956021308898926,0.0049731251783668995,0.14348959922790527,36.05973434448242,0.0480472557246685,1.612160325050354
896000.0,-1617.6290283203125,0.3887326717376709,0.3937976658344269,0.0050650001503527164,0.14372266829013824,35.575111389160156,0.04795942083001137,1.617629051208496
1024000.0,-1632.6407470703125,0.3830430209636688,0.38812896609306335,0.005085937678813934,0.14321225881576538,35.44215774536133,0.04835353046655655,1.6326408386230469
1152000.0,-1621.447998046875,0.3897179663181305,0.39501485228538513,0.005296875257045031,0.14287631213665009,35.73843765258789,0.04796086996793747,1.621448040008545
1280000.0,-1618.9505615234375,0.38486596941947937,0.3897968828678131,0.0049309381283819675,0.14382292330265045,36.07024383544922,0.04801326245069504,1.618950605392456
1408000.0,-1634.1719970703125,0.372284859418869,0.37713518738746643,0.004850312601774931,0.14354947209358215,35.419464111328125,0.04808194562792778,1.6341720819473267
1536000.0,-1617.5743408203125,0.36775702238082886,0.3729211091995239,0.005164062604308128,0.14214976131916046,35.836219787597656,0.04795866459608078,1.6175744533538818
1664000.0,-1619.898681640625,0.3748539388179779,0.3795257806777954,0.004671875387430191,0.14278516173362732,35.75136184692383,0.04832995682954788,1.619898796081543
1792000.0,-1615.824462890625,0.38005080819129944,0.385191410779953,0.0051406254060566425,0.14236460626125336,35.95014190673828,0.047892458736896515,1.615824580192566
1920000.0,-1602.453125,0.3789689242839813,0.3846476674079895,0.005678750108927488,0.1428060084581375,36.478111267089844,0.04767672345042229,1.6024532318115234
