env_step,focal_return,inflation,claimed_alpha,true_alpha_focal,partner_clean_rate,dirt,aggregate,victim_mean
128000.0,-150.03517150878906,0.391049861907959,0.39538127183914185,0.00433140667155385,0.10012630373239517,104.33747863769531,0.07837239652872086,0.15003517270088196
256000.0,-15.394532203674316,0.39344799518585205,0.40757736563682556,0.014129375107586384,0.09389322996139526,114.80081939697266,0.08075937628746033,0.015394533053040504
384000.0,-9.515625,0.40324610471725464,0.4170609414577484,0.013814844191074371,0.09566797316074371,114.9070053100586,0.08228560537099838,0.009515625424683094
512000.0,-9.707032203674316,0.39628687500953674,0.40951022505760193,0.013223281130194664,0.09592839330434799,114.37091064453125,0.08108967542648315,0.009707032702863216
640000.0,-9.406251907348633,0.39359191060066223,0.4059828519821167,0.01239093765616417,0.09523698687553406,116.09920501708984,0.08052974194288254,0.009406252764165401
768000.0,-9.834636688232422,0.4044255018234253,0.4166945517063141,0.012269062921404839,0.09516406804323196,115.2513427734375,0.08207645267248154,0.009834636934101582
896000.0,-11.684897422790527,0.3926398456096649,0.40501484274864197,0.01237500086426735,0.0945638120174408,114.90496063232422,0.08061760663986206,0.011684898287057877
1024000.0,-8.859375953674316,0.3970659673213959,0.4091765880584717,0.012110624462366104,0.09524219483137131,116.44608306884766,0.0808652713894844,0.008859376423060894
1152000.0,-9.141927719116211,0.3767443895339966,0.38980862498283386,0.013064218685030937,0.09407683461904526,116.79767608642578,0.07775752991437912,0.009141928516328335
1280000.0,-10.162761688232422,0.3665725290775299,0.37953832745552063,0.01296578161418438,0.09458333998918533,115.91065979003906,0.07634463906288147,0.010162762366235256
1408000.0,-10.563802719116211,0.38453409075737,0.39604222774505615,0.011508125811815262,0.09502214193344116,115.72010040283203,0.07888072729110718,0.010563802905380726
1536000.0,-11.101564407348633,0.3829803168773651,0.3942148685455322,0.011234532110393047,0.09400130808353424,116.60772705078125,0.07864714413881302,0.011101565323770046
1664000.0,-7.136719226837158,0.38849160075187683,0.40130001306533813,0.012808438390493393,0.09475652128458023,116.2701644897461,0.07942193746566772,0.0071367197670042515
1792000.0,-9.752605438232422,0.38647812604904175,0.3979555070400238,0.011477343738079071,0.09513933211565018,115.02983093261719,0.0797254741191864,0.00975260604172945
1920000.0,-11.657553672790527,0.38257020711898804,0.3925023674964905,0.00993218831717968,0.09429948776960373,116.5831069946289,0.07820499688386917,0.011657554656267166
2048000.0,-10.290365219116211,0.3978036046028137,0.40807658433914185,0.01027296856045723,0.09441275894641876,116.09008026123047,0.08061240613460541,0.010290365666151047
2176000.0,-9.661458969116211,0.4053598940372467,0.4150703251361847,0.009710468351840973,0.09430468827486038,117.20529174804688,0.08160299062728882,0.009661459363996983
2304000.0,-9.378907203674316,0.417598158121109,0.42731016874313354,0.009712031111121178,0.09462761133909225,115.53604888916016,0.08389680087566376,0.009378907270729542
2432000.0,-10.618491172790527,0.41641145944595337,0.4249843955039978,0.008572968654334545,0.0946119874715805,115.0750961303711,0.08383332192897797,0.010618492029607296
2560000.0,-8.786458969116211,0.41304659843444824,0.42190706729888916,0.008860467933118343,0.09521875530481339,115.97376251220703,0.08340077102184296,0.00878645945340395
2688000.0,-9.652344703674316,0.3861455023288727,0.39448750019073486,0.008342032320797443,0.09446746110916138,117.30534362792969,0.07901303470134735,0.009652345441281796
2816000.0,-8.986980438232422,0.38677096366882324,0.39515939354896545,0.008388437330722809,0.09443619847297668,115.92162322998047,0.07926881313323975,0.00898698065429926
2944000.0,-10.582032203674316,0.3921128511428833,0.399575799703598,0.007462968118488789,0.09462630748748779,116.9403076171875,0.07962341606616974,0.01058203261345625
3072000.0,-8.203125,0.3821812570095062,0.3897281289100647,0.0075468746945261955,0.09504818171262741,116.72296142578125,0.07826848328113556,0.008203125558793545
3200000.0,-6.872396469116211,0.3941039741039276,0.4002593755722046,0.00615546852350235,0.09494922310113907,118.7194595336914,0.07914969325065613,0.006872396916151047
3328000.0,-7.3190107345581055,0.38519129157066345,0.39104142785072327,0.005850156303495169,0.09472787380218506,117.27764892578125,0.07839822769165039,0.0073190112598240376
3456000.0,-10.135417938232422,0.3812865912914276,0.38760629296302795,0.00631968816742301,0.09386458247900009,117.80729675292969,0.07781568914651871,0.010135418735444546
3584000.0,-8.813802719116211,0.3951469361782074,0.4018281400203705,0.006681250408291817,0.09439843893051147,117.66310119628906,0.07975038886070251,0.00881380308419466
3712000.0,-6.8268232345581055,0.3961556553840637,0.4024515450000763,0.006295938044786453,0.09463152289390564,118.24392700195312,0.07961970567703247,0.006826823577284813
3840000.0,-7.009115219116211,0.41856786608695984,0.4251789450645447,0.006611093878746033,0.09580729901790619,117.81879425048828,0.08318168669939041,0.007009115535765886
3968000.0,-6.298177719116211,0.40086376667022705,0.4073086082935333,0.006444843951612711,0.09548437595367432,117.98015594482422,0.08070158958435059,0.0062981778755784035
4096000.0,-7.3736982345581055,0.43090957403182983,0.4369984269142151,0.006088906433433294,0.09472917765378952,116.89445495605469,0.08514084666967392,0.0073736985214054585
4224000.0,-5.614583492279053,0.41169050335884094,0.4172343909740448,0.005543906707316637,0.09604817628860474,117.13687133789062,0.08256980776786804,0.005614583846181631
4352000.0,-7.255208969116211,0.41623908281326294,0.4222007989883423,0.0059617189690470695,0.0945638120174408,118.01990509033203,0.08271677047014236,0.007255209144204855
4480000.0,-5.414062976837158,0.44118160009384155,0.44668206572532654,0.005500468425452709,0.09630730003118515,118.13508605957031,0.08656938374042511,0.005414063110947609
4608000.0,-4.45703125,0.4445599913597107,0.4499070644378662,0.00534703116863966,0.09538152068853378,117.99613952636719,0.08752772957086563,0.00445703137665987
4736000.0,-3.664062976837158,0.4603687524795532,0.46543362736701965,0.005064843222498894,0.09534895420074463,118.19934844970703,0.08937816321849823,0.0036640630569308996
4864000.0,-4.183594226837158,0.45890188217163086,0.4633648991584778,0.004462969023734331,0.0958450511097908,116.54689025878906,0.08975387364625931,0.004183594603091478
4992000.0,-3.8190107345581055,0.48070627450942993,0.48538127541542053,0.004674999974668026,0.09544922411441803,118.11334228515625,0.0922996997833252,0.0038190109189599752
5120000.0,-4.18359375,0.449237197637558,0.45410704612731934,0.0048698438331484795,0.09588021785020828,117.66195678710938,0.08852910250425339,0.004183594137430191
5248000.0,-3.3268232345581055,0.48403647541999817,0.488325834274292,0.004289374686777592,0.09596224129199982,117.80828094482422,0.0926210805773735,0.0033268234692513943
5376000.0,-2.0052084922790527,0.47027266025543213,0.47477424144744873,0.004501562099903822,0.09536980092525482,117.71571350097656,0.09149638563394547,0.0020052085164934397
5504000.0,-4.29296875,0.4666062891483307,0.4706062972545624,0.003999999724328518,0.09612500667572021,117.82733154296875,0.09068157523870468,0.00429296912625432
5632000.0,-2.5794272422790527,0.4710576832294464,0.4751594066619873,0.004101719241589308,0.09577734768390656,117.59272766113281,0.09108947962522507,0.0025794273242354393
5760000.0,-3.089844226837158,0.4827077090740204,0.48627424240112305,0.003566562430933118,0.09554167836904526,117.74248504638672,0.09280572831630707,0.0030898444820195436
5888000.0,-2.3606772422790527,0.4792522192001343,0.482898473739624,0.003646249882876873,0.0967278704047203,116.4482421875,0.09282966703176498,0.002360677346587181
6016000.0,-3.673177480697632,0.4939654767513275,0.4973945617675781,0.003429062431678176,0.09551693499088287,116.71768188476562,0.0948818251490593,0.0036731776781380177
6144000.0,-1.832031488418579,0.5161159634590149,0.5192188024520874,0.0031028124503791332,0.09572526812553406,117.39970397949219,0.09795331954956055,0.0018320315284654498
6272000.0,-2.1510419845581055,0.5056142807006836,0.5088499784469604,0.0032357810996472836,0.09519531577825546,117.66422271728516,0.09647774696350098,0.002151041990146041
6400000.0,-3.035156726837158,0.47760114073753357,0.4805546998977661,0.002953593386337161,0.0962291732430458,118.24676513671875,0.09272709488868713,0.0030351567547768354
6528000.0,-2.296875238418579,0.48078563809394836,0.48402896523475647,0.003243281040340662,0.09658334404230118,118.00880432128906,0.09267329424619675,0.002296875463798642
6656000.0,-2.953125238418579,0.45842626690864563,0.46142658591270447,0.0030003124848008156,0.09674610197544098,118.16267395019531,0.08947725594043732,0.002953125396743417
6784000.0,-2.880208730697632,0.45953065156936646,0.4629875123500824,0.0034568747505545616,0.09716537594795227,118.43993377685547,0.08938264101743698,0.00288020889274776
6912000.0,-1.7591147422790527,0.47138848900794983,0.47408440709114075,0.0026959371753036976,0.0974622368812561,118.78792572021484,0.09099304676055908,0.0017591147916391492
7040000.0,-3.6822919845581055,0.4688340723514557,0.47140470147132874,0.002570624928921461,0.09725000709295273,117.82156372070312,0.0910007506608963,0.003682292066514492
7168000.0,-1.667968988418579,0.47474005818367004,0.47719764709472656,0.0024576561991125345,0.09697265923023224,118.79209899902344,0.09139343351125717,0.0016679690452292562
7296000.0,-1.613281488418579,0.4910263121128082,0.49297893047332764,0.001952656079083681,0.09629037231206894,118.95354461669922,0.09370779246091843,0.0016132815508171916
7424000.0,-2.0872397422790527,0.5078339576721191,0.5100859999656677,0.0022520311176776886,0.09509766101837158,117.3458480834961,0.09665713459253311,0.0020872398745268583
7552000.0,-1.8593751192092896,0.5045069456100464,0.5069578289985657,0.002450937405228615,0.09725131094455719,117.63423919677734,0.0963766947388649,0.0018593751592561603
7680000.0,-1.1028647422790527,0.5174651741981506,0.5197242498397827,0.002259062370285392,0.09729297459125519,118.30989837646484,0.09799620509147644,0.0011028647422790527
7808000.0,-1.248698115348816,0.5112762451171875,0.5135859847068787,0.0023096874356269836,0.09711458534002304,117.48439025878906,0.09749540686607361,0.001248698215931654
7936000.0,-2.4244794845581055,0.5165873765945435,0.5190148949623108,0.0024274999741464853,0.09638802707195282,118.14088439941406,0.09776326268911362,0.0024244796950370073
8064000.0,-1.877604365348816,0.5123741030693054,0.5146445631980896,0.002270468743517995,0.09759765863418579,117.40557098388672,0.09739319235086441,0.0018776044016703963
8192000.0,-1.4856772422790527,0.5254179835319519,0.5274679660797119,0.002050000010058284,0.09707031399011612,118.3115005493164,0.09895873814821243,0.0014856773195788264
8320000.0,-1.8958334922790527,0.541835367679596,0.5439023971557617,0.002067031105980277,0.09476172178983688,117.3316421508789,0.10187172144651413,0.0018958335276693106
8448000.0,-1.631510615348816,0.5360599756240845,0.5381539463996887,0.0020939065143465996,0.09544532001018524,118.1787338256836,0.1010131910443306,0.0016315106768161058
8576000.0,-1.2395834922790527,0.527894139289856,0.5299429893493652,0.0020489064045250416,0.09577605128288269,118.10310363769531,0.09945414960384369,0.001239583594724536
8704000.0,-1.695312738418579,0.5173665881156921,0.5190852284431458,0.0017185937613248825,0.09658203274011612,118.18366241455078,0.09800979495048523,0.0016953127924352884
8832000.0,-1.1940104961395264,0.5132731795310974,0.5152415037155151,0.0019682813435792923,0.09627344459295273,116.93994140625,0.09788864850997925,0.0011940106051042676
8960000.0,-1.2942709922790527,0.5143541097640991,0.5161234736442566,0.0017693749396130443,0.09664323925971985,118.53228759765625,0.09721671044826508,0.0012942710891366005
9088000.0,-1.494791865348816,0.509776771068573,0.5114570260047913,0.0016803124453872442,0.09656771272420883,119.25411224365234,0.09661144018173218,0.0014947919407859445
9216000.0,-1.585937738418579,0.5276859402656555,0.5293149352073669,0.0016289062332361937,0.0955885499715805,117.97366333007812,0.09945665299892426,0.0015859378036111593
9344000.0,-1.8138022422790527,0.5231708288192749,0.524874210357666,0.0017034374177455902,0.09541145712137222,118.7365493774414,0.09865721315145493,0.0018138022860512137
9472000.0,-1.7682292461395264,0.5466733574867249,0.5484500527381897,0.0017767185345292091,0.09452865272760391,117.98184204101562,0.10220872610807419,0.0017682292964309454
9600000.0,-1.4127604961395264,0.5358386635780334,0.5377914309501648,0.0019528125412762165,0.09511850029230118,117.67266845703125,0.10113931447267532,0.0014127605827525258
9728000.0,-2.433593988418579,0.5445846319198608,0.5462219715118408,0.0016373434336856008,0.0958554744720459,118.73800659179688,0.10189928114414215,0.0024335940834134817
9856000.0,-0.9843751192092896,0.5303642749786377,0.5324687957763672,0.0021045312751084566,0.09708594530820847,117.1861572265625,0.10016072541475296,0.0009843751322478056
9984000.0,-1.5768229961395264,0.5145819187164307,0.5163031816482544,0.0017212498933076859,0.09761328250169754,117.3914566040039,0.0981007069349289,0.0015768230659887195
10112000.0,-1.476562738418579,0.5411238074302673,0.5430070161819458,0.001883281278423965,0.09630730003118515,117.51458740234375,0.10119735449552536,0.0014765628147870302
10240000.0,-1.7044272422790527,0.5525687336921692,0.5545476078987122,0.0019789061043411493,0.09442969411611557,117.44721221923828,0.10358589887619019,0.0017044272972270846
10368000.0,-1.914062738418579,0.5403748750686646,0.5425383448600769,0.0021634374279528856,0.09659244865179062,117.3777084350586,0.10141574591398239,0.0019140628864988685
10496000.0,-1.531250238418579,0.5562443137168884,0.5581086874008179,0.0018643749644979835,0.09567449241876602,117.71815490722656,0.10408131778240204,0.0015312503091990948
10624000.0,-0.911458432674408,0.5583372116088867,0.560226559638977,0.001889374922029674,0.09541016072034836,118.44729614257812,0.10404468327760696,0.0009114584536291659
10752000.0,-1.932291865348816,0.5495138168334961,0.5515695810317993,0.0020557809621095657,0.09499219059944153,117.1268081665039,0.10309574007987976,0.0019322920124977827
